metric;timestamp;value;resource_kind;resource_id;consumer_kind;consumer_id;__late_attributes
mem_total_kB;2026-02-12T17:16:57.894882228Z;1081669177344;local_machine;;local_machine;;
mem_free_kB;2026-02-12T17:16:57.894882228Z;1036347699200;local_machine;;local_machine;;
mem_available_kB;2026-02-12T17:16:57.894882228Z;1056722841600;local_machine;;local_machine;;
cached_kB;2026-02-12T17:16:57.894882228Z;22908944384;local_machine;;local_machine;;
swap_cached_kB;2026-02-12T17:16:57.894882228Z;0;local_machine;;local_machine;;
active_kB;2026-02-12T17:16:57.894882228Z;10907844608;local_machine;;local_machine;;
inactive_kB;2026-02-12T17:16:57.894882228Z;22117662720;local_machine;;local_machine;;
mapped_kB;2026-02-12T17:16:57.894882228Z;1481515008;local_machine;;local_machine;;
mem_total_kB;2026-02-12T17:16:57.895180165Z;1081669177344;local_machine;;local_machine;;
mem_free_kB;2026-02-12T17:16:57.895180165Z;1036347699200;local_machine;;local_machine;;
mem_available_kB;2026-02-12T17:16:57.895180165Z;1056722841600;local_machine;;local_machine;;
cached_kB;2026-02-12T17:16:57.895180165Z;22908944384;local_machine;;local_machine;;
swap_cached_kB;2026-02-12T17:16:57.895180165Z;0;local_machine;;local_machine;;
active_kB;2026-02-12T17:16:57.895180165Z;10908360704;local_machine;;local_machine;;
inactive_kB;2026-02-12T17:16:57.895180165Z;22117662720;local_machine;;local_machine;;
mapped_kB;2026-02-12T17:16:57.895180165Z;1481515008;local_machine;;local_machine;;
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;local_machine;;local_machine;;cpu_state=user
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;local_machine;;local_machine;;cpu_state=nice
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;local_machine;;local_machine;;cpu_state=system
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;50;local_machine;;local_machine;;cpu_state=idle
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;local_machine;;local_machine;;cpu_state=irq
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;local_machine;;local_machine;;cpu_state=softirq
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;local_machine;;local_machine;;cpu_state=steal
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;local_machine;;local_machine;;cpu_state=guest
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;local_machine;;local_machine;;cpu_state=guest_nice
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;0;local_machine;;cpu_state=user
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;0;local_machine;;cpu_state=nice
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;0;local_machine;;cpu_state=system
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;0;local_machine;;cpu_state=idle
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;0;local_machine;;cpu_state=irq
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;0;local_machine;;cpu_state=softirq
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;0;local_machine;;cpu_state=steal
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;0;local_machine;;cpu_state=guest
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;0;local_machine;;cpu_state=guest_nice
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;1;local_machine;;cpu_state=user
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;1;local_machine;;cpu_state=nice
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;1;local_machine;;cpu_state=system
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;1;local_machine;;cpu_state=idle
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;1;local_machine;;cpu_state=irq
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;1;local_machine;;cpu_state=softirq
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;1;local_machine;;cpu_state=steal
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;1;local_machine;;cpu_state=guest
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;1;local_machine;;cpu_state=guest_nice
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;2;local_machine;;cpu_state=user
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;2;local_machine;;cpu_state=nice
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;2;local_machine;;cpu_state=system
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;2;local_machine;;cpu_state=idle
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;2;local_machine;;cpu_state=irq
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;2;local_machine;;cpu_state=softirq
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;2;local_machine;;cpu_state=steal
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;2;local_machine;;cpu_state=guest
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;2;local_machine;;cpu_state=guest_nice
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;3;local_machine;;cpu_state=user
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;3;local_machine;;cpu_state=nice
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;3;local_machine;;cpu_state=system
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;3;local_machine;;cpu_state=idle
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;3;local_machine;;cpu_state=irq
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;3;local_machine;;cpu_state=softirq
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;3;local_machine;;cpu_state=steal
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;3;local_machine;;cpu_state=guest
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;3;local_machine;;cpu_state=guest_nice
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;4;local_machine;;cpu_state=user
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;4;local_machine;;cpu_state=nice
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;4;local_machine;;cpu_state=system
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;4;local_machine;;cpu_state=idle
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;4;local_machine;;cpu_state=irq
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;4;local_machine;;cpu_state=softirq
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;4;local_machine;;cpu_state=steal
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;4;local_machine;;cpu_state=guest
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;4;local_machine;;cpu_state=guest_nice
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;5;local_machine;;cpu_state=user
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;5;local_machine;;cpu_state=nice
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;5;local_machine;;cpu_state=system
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;5;local_machine;;cpu_state=idle
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;5;local_machine;;cpu_state=irq
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;5;local_machine;;cpu_state=softirq
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;5;local_machine;;cpu_state=steal
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;5;local_machine;;cpu_state=guest
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;5;local_machine;;cpu_state=guest_nice
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;6;local_machine;;cpu_state=user
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;6;local_machine;;cpu_state=nice
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;6;local_machine;;cpu_state=system
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;6;local_machine;;cpu_state=idle
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;6;local_machine;;cpu_state=irq
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;6;local_machine;;cpu_state=softirq
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;6;local_machine;;cpu_state=steal
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;6;local_machine;;cpu_state=guest
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;6;local_machine;;cpu_state=guest_nice
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;7;local_machine;;cpu_state=user
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;7;local_machine;;cpu_state=nice
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;7;local_machine;;cpu_state=system
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;7;local_machine;;cpu_state=idle
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;7;local_machine;;cpu_state=irq
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;7;local_machine;;cpu_state=softirq
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;7;local_machine;;cpu_state=steal
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;7;local_machine;;cpu_state=guest
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;7;local_machine;;cpu_state=guest_nice
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;8;local_machine;;cpu_state=user
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;8;local_machine;;cpu_state=nice
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;8;local_machine;;cpu_state=system
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;8;local_machine;;cpu_state=idle
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;8;local_machine;;cpu_state=irq
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;8;local_machine;;cpu_state=softirq
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;8;local_machine;;cpu_state=steal
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;8;local_machine;;cpu_state=guest
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;8;local_machine;;cpu_state=guest_nice
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;9;local_machine;;cpu_state=user
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;9;local_machine;;cpu_state=nice
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;9;local_machine;;cpu_state=system
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;9;local_machine;;cpu_state=idle
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;9;local_machine;;cpu_state=irq
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;9;local_machine;;cpu_state=softirq
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;9;local_machine;;cpu_state=steal
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;9;local_machine;;cpu_state=guest
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;9;local_machine;;cpu_state=guest_nice
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;10;local_machine;;cpu_state=user
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;10;local_machine;;cpu_state=nice
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;10;local_machine;;cpu_state=system
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;10;local_machine;;cpu_state=idle
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;10;local_machine;;cpu_state=irq
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;10;local_machine;;cpu_state=softirq
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;10;local_machine;;cpu_state=steal
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;10;local_machine;;cpu_state=guest
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;10;local_machine;;cpu_state=guest_nice
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;11;local_machine;;cpu_state=user
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;11;local_machine;;cpu_state=nice
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;11;local_machine;;cpu_state=system
kernel_cpu_time_ms;2026-02-12T17:16:57.895709374Z;0;cpu_core;11;local_machine;;cpu_state=idle
